state,year,physhlthx,menthlthx,adultpop
Alaska,2014,3.457713239896245,3.058321881169647,556360.0000000018
Arizona,2014,3.962243684136372,3.624307448947909,5106414.815975964
Arkansas,2014,4.817813702599233,4.368192143350144,2263724.786393695
California,2014,3.979018504718451,3.615880458668467,27300039.09937478
Colorado,2014,3.336954449429913,3.207766465832592,3990999.677321487
Connecticut,2014,3.299574147291335,3.592234804173267,2832224.999999983
Delaware,2014,3.645749868157806,3.542765094621563,730755
District of Columbia,2014,2.993037008625648,3.358953728664664,545460.0000000015
Florida,2014,4.123606866185916,3.770042108126821,15917920.64527973
Georgia,2014,3.9187472740751,3.972807395412945,7621639.429988506
Hawaii,2014,2.975643267887925,2.756468067281256,1111810.457744895
Idaho,2014,3.301777027156744,3.241848250738962,1201446.557691939
Illinois,2014,3.894993277518993,3.554901690218355,9574919.363908976
Indiana,2014,4.17317306495753,4.138185443377696,5027148.687094509
Iowa,2014,3.337710901749099,3.02110990543798,2412732.869761856
Kansas,2014,3.277110075400529,3.01894068949545,2212103.931435076
Kentucky,2014,5.111967441448956,4.466729640343614,3398499.236141544
Louisiana,2014,4.385360805739565,3.931577726902634,3677045.225124675
Maine,2014,3.937209477471477,3.808196764288325,1068811.000000003
Maryland,2014,3.353582984574236,3.315520616228545,4647247.338278604
Massachusetts,2014,3.56583554558073,3.862646438337608,5365443.439386856
Michigan,2014,4.044136532334607,4.134740227752271,7692041.607667246
Minnesota,2014,2.903512275931929,2.828755858004763,4193617.881215219
Mississippi,2014,4.145348875888617,4.141247652917636,2142103.346471581
Missouri,2014,4.223220345050831,3.651998896113049,4671683.841510772
Montana,2014,4.042055375646555,3.299212042434311,805138.3358011558
Nebraska,2014,3.029343001655149,2.842320763917945,1356768.597019571
Nevada,2014,3.735675039895296,3.404577021739244,2154886.484246772
New Hampshire,2014,3.274314561242847,3.483668043356115,1061378.945435456
New Jersey,2014,3.376879877694261,3.378315591116657,6946683.143347468
New Mexico,2014,4.486871490467409,3.908981833452498,1556701.259399854
New York,2014,3.751143867688949,3.661675197138274,15442216.63579568
North Carolina,2014,3.992267282757791,3.668064935869771,7631804.194539439
North Dakota,2014,2.880184164863458,2.822331111617209,583317.3052195128
Ohio,2014,4.0735300869145,4.137654395528547,8963446.726344284
Oklahoma,2014,4.534772401674457,4.068673144512658,2894779.641967692
Oregon,2014,4.278534303796199,4.068682684483766,3109009.439622907
Pennsylvania,2014,3.93718934592814,3.94739713987518,10092967.82413822
Rhode Island,2014,3.834609085538265,3.605055961887643,839957.9999999972
South Carolina,2014,4.152051643009378,4.155881285011347,3747777.089326403
South Dakota,2014,3.223469716026146,2.662125734667607,649592.0821730571
Tennessee,2014,4.776637200530531,4.788599977247387,4533582.492585646
Texas,2014,3.479544253239379,3.036238138976746,19872852.2663815
Utah,2014,3.340924921800539,3.446552034307001,2380812.867316231
Vermont,2014,3.482388994288487,3.43242275235372,506478.3096803356
Virginia,2014,3.558451185990132,3.251566707736627,6492294.430176162
Washington,2014,3.894493627401404,3.649745248641795,5469518.287581548
West Virginia,2014,5.313870188884459,4.642412879818525,1474021.000000012
Wisconsin,2014,3.787457506800227,3.694471450071356,4957230.340393275
Wyoming,2014,3.407690225796364,3.283446304296472,452034.4199202568
Guam,2014,2.959711068332678,3.440580188070876,107955.6653557193
Puerto Rico,2014,4.91980009255099,3.752113873455684,2797630.250034353
Alabama,2015,4.645669529633273,4.318997973523115,3767587.728365659
Alaska,2015,3.375096676397523,3.504931547324124,552628.6152795351
Arizona,2015,3.951276154997163,3.779100054463592,5177983.619259739
Arkansas,2015,4.876693627439063,4.661438951775193,2269829.261819069
California,2015,3.827804647751697,3.577622303348831,26933656.54554417
Colorado,2015,3.534609250985231,3.480331938113626,3982458.494137633
Connecticut,2015,3.628155372523546,3.629576484225189,2813964.365934832
Delaware,2015,3.619170675659646,3.590885224406463,738620.3736349274
District of Columbia,2015,3.150608567318308,3.543309244348337,538259.2004024204
Florida,2015,4.406712293994083,4.092889504584672,16151397.78753404
Georgia,2015,3.824718331648544,3.739408813098756,7647097.078225261
Hawaii,2015,3.153990892352271,2.854918439311383,1131164.733694068
Idaho,2015,3.576326526542719,3.441793480299197,1228138.489764614
Illinois,2015,3.738977214859425,3.423929346570885,9741749.729526879
Indiana,2015,4.205025311953354,4.038530815257055,5055126.926126485
Iowa,2015,3.210564963655507,3.158002165047565,2404383.179938897
Kansas,2015,3.263473787175649,3.158367332314486,2073725.352780731
Kentucky,2015,5.027115807237097,4.270961838223634,3380654.009226276
Louisiana,2015,4.375800653430995,4.302490182711318,3185076.413900764
Maine,2015,4.072356594806514,3.800474843796651,1076269.553158935
Maryland,2015,3.624530528547542,3.361928344511541,4654218.596864289
Massachusetts,2015,3.59786452979945,3.858928312784889,5418338.316417919
Michigan,2015,4.17227519117125,3.80006628026516,7724549.586657621
Minnesota,2015,3.138371569367529,2.922918989995701,4216444.280565353
Mississippi,2015,4.64721025062035,4.506536882852347,2213812.904826765
Missouri,2015,4.331375588692079,4.042224704696033,4676632.416808242
Montana,2015,4.001480904801751,3.40703270678919,808631.7692650129
Nebraska,2015,3.132948012189715,2.860842601208199,1439084.05157813
Nevada,2015,4.011362257241421,3.711498906652172,2198646.359084777
New Hampshire,2015,3.446168835885256,3.504527498394624,1064832.786597926
New Jersey,2015,3.42161088584458,3.347666844757673,6914166.964894699
New Mexico,2015,4.320254125991176,3.6665226781028,1540139.338257341
New York,2015,3.934403695598647,3.659020518466676,15671067.33719784
North Carolina,2015,4.144485899486605,3.649681219817413,7590674.590623901
North Dakota,2015,3.038215780771365,3.276889815342976,590610.8711847707
Ohio,2015,3.92989520986527,3.846017869291739,8981336.706592359
Oklahoma,2015,4.523526503205356,4.052419652162142,3057803.135295168
Oregon,2015,4.545936729099718,4.483604800345105,3152348.58248147
Pennsylvania,2015,3.725094199103314,3.760537839364908,10105355.74565271
Rhode Island,2015,4.198604727286782,4.057968786327789,843124.607305399
South Carolina,2015,4.182579113490836,4.262471833885208,3804811.293638619
South Dakota,2015,3.289563558550632,2.452201189411533,652983.9386449836
Tennessee,2015,5.024837788394551,4.365839025085156,5326448.795280191
Texas,2015,3.64844238500744,3.188035366508891,20208980.6003644
Utah,2015,3.297787145661202,3.725304164530618,1765975.480780654
Vermont,2015,3.680801907339111,3.522008434019772,506709.1790898455
Virginia,2015,3.318102279530439,3.254833498547322,6515320.078595937
Washington,2015,3.768394924970708,3.67373401170221,5553735.692193686
West Virginia,2015,5.532727392006991,4.650589319320257,1471601.999999991
Wisconsin,2015,3.563220795659559,3.367913127432429,4447181.397836087
Wyoming,2015,4.025576824851441,3.618169428196864,450786.2536507414
Guam,2015,3.262856525653148,3.443284264803589,100484.1998105721
Puerto Rico,2015,4.538967595952125,3.756799321855328,2769731.209343098
Alabama,2016,4.650306526276093,4.481672385463719,3793645.43272303
Alaska,2016,3.825371821664252,3.454477427786128,550495.3977686128
Arizona,2016,4.182022819873322,3.792372665587129,5323909.670724284
Arkansas,2016,5.247664610008518,5.036505360135321,2290246.616187511
California,2016,3.553618894269398,3.533997872855784,33972529.20318593
Colorado,2016,3.41383934536855,3.573666241215063,4259287.702324222
Connecticut,2016,3.526130021131942,3.642905301118415,2860282.110919605
Delaware,2016,3.457166415658184,3.559674084764499,755175.4410871059
District of Columbia,2016,2.830536412883264,3.224925060389781,488082.5795669198
Florida,2016,4.0410803103201,3.581975584858368,16586604.28855242
Georgia,2016,3.846434036391807,3.736383493771822,7926714.007777884
Hawaii,2016,3.454051349139475,3.128077261377865,1143964.993385316
Idaho,2016,3.770603919662053,3.540782827713238,1237726.455394679
Illinois,2016,3.868266869556472,3.417127283269812,9763825.464119248
Indiana,2016,4.109041062373305,4.25329702917473,4851154.23699106
Iowa,2016,3.1222472055541,3.24150905290196,2415087.679018692
Kansas,2016,3.216218513941637,3.255748064967861,2268325.492838213
Kentucky,2016,4.988798476535028,4.593756279802889,3374228.079537714
Louisiana,2016,4.370154674816039,4.114451044281922,3731200.403547898
Maine,2016,4.389999800095938,4.089649510371664,1046510.351641577
Maryland,2016,3.203928344137101,3.389564908409922,4736478.081315616
Massachusetts,2016,3.557014739410765,3.893463011443216,5467411.676341009
Michigan,2016,4.464167808455348,4.293669873371829,7340622.229694567
Minnesota,2016,3.091769386962239,3.114761130553843,4259692.795163278
Mississippi,2016,4.417772340674309,4.285451486963898,2465226.34556387
Missouri,2016,4.288494689077324,4.166442764635043,4585973.262286446
Montana,2016,3.853794445775346,3.399629171187788,804223.8712862594
Nebraska,2016,3.260682793664413,3.235266320486665,1365654.811655027
Nevada,2016,4.348418522221587,4.457813413871418,2048458.895767731
New Hampshire,2016,3.832707419536605,3.935542123345684,1075750.051667733
New Jersey,2016,3.747676814630421,3.397364049285288,6987720.68120633
New Mexico,2016,4.442276718318418,3.982445019990574,1580779.561269628
New York,2016,3.721708479896748,3.55020688998118,14984372.56536327
North Carolina,2016,3.75290749874953,3.796002003480217,7981913.086334762
North Dakota,2016,3.08749956422233,3.119104803287221,578965.2796249721
Ohio,2016,4.099737611554847,4.113096367577783,9027379.92897494
Oklahoma,2016,4.562033748455368,4.314058641663386,2835618.60658177
Oregon,2016,3.952581057738671,4.293042438613838,3227631.024895541
Pennsylvania,2016,4.117050398182287,4.188487146394704,10164159.16878484
Rhode Island,2016,4.000769295120021,4.18004617078676,852120.4378874366
South Carolina,2016,4.389599725970798,4.265974617138027,3885661.308604275
South Dakota,2016,3.295479602650052,2.798509704910243,654400.1273334004
Tennessee,2016,4.572290519541291,4.426965061217953,5242944.295704522
Texas,2016,3.590216693160711,3.477032752956806,20481007.46551217
Utah,2016,3.235733511926805,3.624288135995229,2217250.176956567
Vermont,2016,3.832731364351093,3.891462241566575,507960.4886035114
Virginia,2016,3.57191559614432,3.397533162722769,6559605.842289588
Washington,2016,3.81083541123606,3.75328737182007,5672363.609216751
West Virginia,2016,5.548211990875545,5.030367107726701,1465342.23481371
Wisconsin,2016,3.834878563809478,3.715482884602253,4607203.34447928
Wyoming,2016,3.856071364456228,3.612172826820288,451518.459565752
Guam,2016,3.467895303390311,3.855563254711497,113742.0510618655
Puerto Rico,2016,4.643457224426866,3.800024970220984,2851980.753154978
Alabama,2017,5.107691611376645,4.781523802653699,3748643.676676642
Alaska,2017,3.914234540576534,3.850766206129607,565232.3716843581
Arizona,2017,4.223704994736857,3.951604556234288,5367295.267670698
Arkansas,2017,5.257191960809095,5.090611873831819,2291011.502220955
California,2017,3.626314867188678,3.49030409866149,32324984.50669227
Colorado,2017,3.543946088305641,3.831838838331326,4310047.322707679
Connecticut,2017,3.471072901495928,3.391230843075975,2825780.440537602
Delaware,2017,3.982155229959201,4.112227646714508,760092.18527797
District of Columbia,2017,2.531689052857329,3.478974314641219,601416.0421808568
Florida,2017,4.046269791596919,3.86122645782148,16934387.49789818
Georgia,2017,3.507646511581708,3.823597219305005,7935117.690908995
Hawaii,2017,3.536921786862907,3.170187861410327,1110508.183134448
Idaho,2017,3.782396805449992,3.583423808152702,1288576.620705314
Illinois,2017,3.984236142767355,3.845168899003595,10138552.55393
Indiana,2017,4.344700841549709,4.538610099336407,5351285.633255022
Iowa,2017,3.484950529945933,3.485981050678343,2428926.250904282
Kansas,2017,3.656856207040495,3.650312660424824,2047902.314038857
Kentucky,2017,5.305356491822423,4.875199796717832,3460783.4020237
Louisiana,2017,4.933811135250774,5.027229389557107,3686260.700635477
Maine,2017,4.269031224575446,4.141954189122097,1113285.095199482
Maryland,2017,3.53154932800056,3.71841182967899,4670638.57565012
Massachusetts,2017,3.783425587649786,3.870400662821092,5490041.102952591
Michigan,2017,4.479945684064824,4.111903340160222,6919279.010518558
Minnesota,2017,3.07207933105612,3.022535148358767,4284038.64820026
Mississippi,2017,5.057985785366236,4.923709169571261,2275384.758589295
Missouri,2017,4.340011288205907,4.279820027527366,4725503.970631247
Montana,2017,4.026129361101006,3.556915269608388,744128.036418252
Nebraska,2017,3.358898644368467,3.402446423415404,1475736.30907902
Nevada,2017,4.136846853033863,3.628814203023897,2561354.797219246
New Hampshire,2017,3.91544478345265,3.84045452402329,1086002.528298033
New Jersey,2017,3.846283151060284,3.873919562090632,7106373.873444253
New Mexico,2017,4.61977139791377,4.300792354418502,1638473.572616991
New York,2017,3.677150706672176,3.884995602937196,16306473.37095848
North Carolina,2017,4.091198868808318,4.07369798801191,7960587.80446896
North Dakota,2017,3.268961900213015,3.358562192186049,600553.3355171027
Ohio,2017,4.161726947512704,4.409794003827487,9102348.788223093
Oklahoma,2017,4.690606999948837,4.774138410939436,2928874.432540868
Oregon,2017,4.438845120973642,4.621860574277847,3294077.842288103
Pennsylvania,2017,4.40218012764005,4.241184345366613,10155647.39777471
Rhode Island,2017,4.173497353291217,4.487518065448603,846400.4496030525
South Carolina,2017,4.200048264707933,4.425956048975062,3891537.852176445
South Dakota,2017,3.635749019366803,3.091712805670396,654931.1176122056
Tennessee,2017,4.509406588905784,4.267984620552324,5312698.309040373
Texas,2017,3.735667700711534,3.799048571925805,21584375.57948125
Utah,2017,3.495403808763366,3.899127507370001,2430037.274445518
Vermont,2017,3.797275505720209,4.257456385198552,504771.5406192947
Virginia,2017,3.600172807805324,3.734008400914109,6686357.940395938
Washington,2017,3.996058882625444,4.059475871246979,5796005.615258244
West Virginia,2017,5.739782866767912,5.221955811363623,1449379.660884293
Wisconsin,2017,3.918840284807835,3.850903291408255,4373382.417788692
Wyoming,2017,3.723347053857978,3.648395500627004,451922.1081496055
Guam,2017,3.370043270337642,3.788902305827831,107803.4111575128
Puerto Rico,2017,4.553646700082497,4.128432720073251,2500610.858447059
Alabama,2018,6.003564753463234,4.235815370485412,55188.34383737491
Alaska,2018,1.880997917843849,.4763224077168231,1358.615267493706
Arizona,2018,2.908859303718054,3.059444137626981,86115.10492959399
Arkansas,2018,2.79260494430775,1.874862053249665,23602.70051715894
California,2018,2.057375794802278,2.650535837722156,89933.47073415057
Colorado,2018,3.417390615075085,3.279417889097445,552959.0261634524
Connecticut,2018,2.551457896086795,1.654396744931985,10696.08260794229
District of Columbia,2018,2.585319658463289,1.963779927978208,56423.17784979601
Florida,2018,3.112489377491402,2.692806659831385,2882.749543223306
Georgia,2018,2.096287063661122,2.889239799960415,50124.70133086793
Hawaii,2018,2.717972956011125,2.744254435278708,15251.68541151626
Idaho,2018,.6051384989847257,0,3273.876443446178
Illinois,2018,3.173496157407314,2.049529585170385,436251.8658229907
Indiana,2018,.4615643877764416,5.614347289933189,7623.725518356716
Iowa,2018,3.707532734815613,6.115724221041382,5388.507086482325
Kansas,2018,3.979876258119913,3.451257107668563,214791.3318016696
Kentucky,2018,6.735120038812513,5.491069108202486,107159.5240974148
Louisiana,2018,5.786302113051001,5.125836744079043,158179.4917641852
Maryland,2018,2.876786105226653,2.130972863326712,63310.25965576414
Massachusetts,2018,1.384946671718052,5.482968635220882,8653.46490164561
Michigan,2018,4.99600965861423,4.965147399705573,1292716.545731394
Minnesota,2018,1.293222337848914,3.238179958855164,2656.525595552663
Mississippi,2018,8.811619704259977,7.721444596910098,5817.141623510285
Missouri,2018,4.444246821230167,3.479222376430319,186340.5380532245
Montana,2018,4.161160913660663,3.473105732965664,97465.32303047238
Nebraska,2018,2.96769135807411,2.82195986843602,111901.3137900091
Nevada,2018,4.625486162574088,3.863802094160908,41442.98355378337
New Hampshire,2018,1.220925823488366,1.290178413901475,2315.688000846386
New Jersey,2018,.0446072696439265,.0223036348219633,6602.337107298687
New Mexico,2018,3.696617207304427,3.82534321735773,36050.93439392787
New York,2018,0,2.605889609324649,9552.090684810057
North Carolina,2018,4.896007638914747,3.359071081311831,333134.7371488097
North Dakota,2018,3.270297906259711,11.66664394573116,773.2406025836585
Ohio,2018,4.338926483804569,6.138107371886543,9857.162885946831
Oklahoma,2018,4.862883621652405,4.24335945137725,416521.8546498881
Oregon,2018,6.84980298687348,2.033566399976661,5252.044306304596
Pennsylvania,2018,.537317022941415,4.056999211564878,11702.5306375042
Rhode Island,2018,4.238164459998211,3.956815531653237,4466.505204107649
South Carolina,2018,2.538628818796088,2.902453208002575,56442.4562542938
South Dakota,2018,4.714866444980696,2.32289738073126,7128.734236349623
Tennessee,2018,5.311479282235748,2.849520209332025,182687.0206693617
Texas,2018,4.219035324075343,5.090273832841771,160828.3160315453
Utah,2018,5.057141538212433,2.392672926657393,11975.60408199921
Vermont,2018,1.992184726575702,3.981176032960172,2203.001326415264
Virginia,2018,1.371372013814776,3.506921811458854,11983.58415162851
Washington,2018,9.251962712171356,6.528385415039672,3864.288958587636
West Virginia,2018,1.253381684674674,0,1853.10430199564
Wisconsin,2018,5.012153943005102,2.899422250939136,157006.1245060339
Wyoming,2018,0,0,109.5551427689373
Guam,2018,8.547777248784469,1.719958459635745,505.3795794121248
Puerto Rico,2018,4.963289084187487,5.650297008239472,261762.9290205608
