state,year,poorhealth,neversmoke,pastsmoke,somesmoke,dailysmoke,bingedrinker,genhealth0,genhealth1_13,genhealth14_30
Texas,2017,.20895153,.64406168,.19924706,.063690066,.093001202,.17794521,.56454957,.27545115,.15999925
Texas,2018,.13522577,.70605016,.18906964,.03232608,.072554126,.14816798,.6161474,.30299184,.080860734
Utah,2013,.12668064,.72212166,.17261793,.032646123,.072614312,.12708755,.60997283,.27957952,.11044767
Utah,2014,.12057368,.7419439,.16281042,.031864632,.063381039,.11209007,.58675665,.30304381,.11019951
Utah,2015,.12613645,.75119299,.16140579,.025066424,.062334821,.10961699,.59930032,.29533359,.1053661
Utah,2016,.11796439,.7541911,.15485704,.032361206,.058590662,.13021329,.58634984,.30771369,.10593649
Utah,2017,.13289112,.75704581,.15422682,.029664349,.059063032,.11507161,.57282341,.30699003,.12018657
Utah,2018,.19184607,.75604993,.20484982,.018621588,.020478655,.25554714,.48267835,.33945599,.17786565
Vermont,2013,.1209772,.53504097,.29895914,.041130409,.12486948,.17118074,.58836299,.2727038,.1389332
Vermont,2014,.11702868,.52558929,.31053981,.046629921,.11724099,.17962694,.58652771,.27492714,.13854517
Vermont,2015,.12575704,.55117404,.28933102,.040977243,.11851771,.17167965,.57328987,.28348351,.14322661
Vermont,2016,.13463466,.54333556,.28612003,.045105368,.12543902,.18404506,.576208,.2668401,.1569519
Vermont,2017,.14141762,.54702216,.29480267,.040397286,.1177779,.17218921,.58163875,.26691771,.15144354
Vermont,2018,.11771806,.58180267,.3235456,0,.094651721,.45866367,.55486757,.3380836,.10704886
Virginia,2013,.15913798,.5722385,.2373043,.05600854,.13444868,.15953137,.58561391,.2636368,.15074931
Virginia,2014,.16862208,.57278699,.23248278,.0554346,.13929562,.15193774,.59274745,.258571,.14868157
Virginia,2015,.15195794,.59633404,.23721626,.047565151,.11888453,.16365524,.6021117,.25691733,.14097099
Virginia,2016,.16285613,.61102498,.23604532,.041406825,.11152287,.15873396,.57781017,.27863765,.14355217
Virginia,2017,.16409352,.59775633,.2390282,.051866386,.11134911,.15975912,.57318199,.28380781,.14301017
Virginia,2018,0,.73262644,.14292963,.093905471,.030538471,.13546509,.56256944,.43743059,0
Washington,2013,.15731849,.5756346,.26381123,.047343414,.11321075,.16853483,.55071855,.30184942,.14743203
Washington,2014,.16037354,.58339113,.26359645,.044479813,.10853262,.17042352,.55825239,.30476448,.13698316
Washington,2015,.14899912,.58714026,.262833,.05005144,.099975303,.16120477,.56063592,.30186459,.13749951
Washington,2016,.14349593,.59374166,.26721373,.047528982,.091515593,.16386645,.55985689,.30415148,.13599162
Washington,2017,.15994319,.5928691,.2722972,.044323694,.090510033,.15624611,.52824599,.31835154,.15340248
Washington,2018,.15677722,.86248571,.13751429,0,0,.31783521,.25718293,.54466683,.19815026
West Virginia,2013,.25701275,.48453555,.24266478,.045183696,.227616,.11177065,.51702762,.25974739,.22322498
West Virginia,2014,.25759515,.46632981,.26751456,.041650277,.22450535,.095791072,.55044615,.2212718,.22828205
West Virginia,2015,.25913799,.49452075,.24872099,.047417987,.20934026,.10622896,.51881748,.24188757,.23929493
West Virginia,2016,.26265356,.4898271,.26241231,.051530115,.19623049,.11380032,.53739047,.22719181,.23541769
West Virginia,2017,.25952664,.47818676,.26262191,.06019967,.19899164,.11541116,.49811289,.25603032,.24585678
West Virginia,2018,.045090891,.38604686,0,.045090891,.56886226,.26141173,0,1,0
Wisconsin,2013,.15539822,.54053444,.26888576,.058437988,.13214184,.21604723,.58348036,.27794686,.13857281
Wisconsin,2014,.15385096,.56404567,.26323631,.045310222,.12740779,.22790554,.59847581,.26121169,.14031251
Wisconsin,2015,.14594334,.56642675,.26199847,.056962058,.11461271,.22682497,.59101564,.27594829,.13303605
Wisconsin,2016,.16019212,.5525108,.27607238,.047635861,.12378095,.24788666,.58113205,.27509353,.14377442
Wisconsin,2017,.16863751,.582744,.25889128,.042618945,.11574578,.22918329,.57488531,.26920033,.15591435
Wisconsin,2018,.16054989,.59731519,.19955228,.061502136,.14163038,.17831638,.60039812,.27363905,.12596282
Wyoming,2013,.15235685,.5274871,.26637447,.051717978,.15442045,.16622013,.60602874,.24195886,.15201241
Wyoming,2014,.13780446,.5623529,.24307458,.051934771,.14263777,.1716466,.63836998,.24313079,.11849926
Wyoming,2015,.14851947,.56458092,.24645774,.049870897,.13909043,.15886666,.5756892,.26277277,.16153806
Wyoming,2016,.15621756,.54932612,.26060614,.043370999,.14669675,.18598901,.60415083,.24558757,.1502616
Wyoming,2017,.15434244,.55233163,.25981769,.047635309,.14021537,.17963631,.5950222,.25423005,.15074773
Wyoming,2018,0,0,0,0,1,0,,,
Guam,2013,.20206301,.56811255,.16724931,.070851631,.19378653,.20719102,.5307529,.33987737,.12936972
Guam,2014,.19983339,.55851316,.14871368,.093939669,.19883348,.23066661,.51068181,.35148415,.13783404
Guam,2015,.20233102,.55495656,.17219232,.076725326,.19612582,.21477166,.55747443,.31141877,.13110675
Guam,2016,.2170942,.5476886,.19686522,.092448838,.16299734,.20631233,.5088383,.33750421,.15365748
Guam,2017,.21602117,.53692526,.20195058,.085923456,.17520072,.2265218,.52049941,.32654554,.15295507
Guam,2018,.6462664,.39850736,0,.16620587,.43528676,.06171152,.49338561,.45947364,.047140755
Puerto Rico,2013,.35404623,.70145726,.19057143,.037352059,.070619248,.14995912,.5632363,.23647435,.20028934
Puerto Rico,2014,.35357678,.70577723,.18116689,.036935695,.076120205,.13219042,.51415098,.273891,.21195802
Puerto Rico,2015,.3617236,.72540593,.16717234,.030845964,.076575778,.12845126,.53947836,.23318675,.22733489
Puerto Rico,2016,.34691876,.72644877,.16781981,.029891474,.075839952,.1244923,.57368505,.23627023,.19004472
Puerto Rico,2017,.37573275,.70545292,.18939289,.032351445,.072802752,.12709336,.57438868,.22122112,.20439018
Puerto Rico,2018,.32463843,.66770649,.16563137,.050207671,.1164545,.17302069,.6189124,.20494905,.17613856
